start;end;flesch_kincaid_grade;confidence
36538;36560;-2.8149999999999995;0.21290474408622181
36565;36672;1.2900000000000027;0.18414208985303307
36677;36709;-0.754999999999999;0.07792417184916989
36714;37221;5.243623853211009;0.7186115619779467
37226;37555;13.108670886075952;0.6950312861186657
37560;37585;-0.45500000000000007;0.04690052545057627
37590;37674;-0.1388888888888875;0.008861930588204833
37679;37719;-4.110714285714286;0.2609832669698781
37724;38050;12.059202898550726;0.7193033240411297
38055;38079;-2.8149999999999995;0.21290474408622181
38084;38160;-3.7049999999999983;0.24775642173879334
38165;38622;8.353039215686277;0.8912626610653637
38627;38652;-0.45500000000000007;0.04690052545057627
38657;38841;1.2154545454545485;0.174064684611798
38846;39485;7.37044217687075;0.9939492515840305
39490;39523;-3.7049999999999983;0.24775642173879334
39528;39548;-3.01;0.22134046272978333
39553;39597;2.6321428571428562;0.36557927533307527
39602;39625;-2.8149999999999995;0.21290474408622181
39630;39665;-4.110714285714286;0.2609832669698781
39670;39699;-1.043333333333333;0.10398479196287576
39701;39715;14.690000000000001;0.6671550793710723
39719;39820;1.0368181818181839;0.14991578058859414
39825;40211;6.165000000000003;0.8431675240740503
40216;40297;-0.6186904761904746;0.06437164200605015
40302;40934;7.565000000000001;0.9695487226453955
40939;41340;5.085363636363638;0.6972172013363569
41345;41781;4.80425;0.6592149374861013
41783;41843;-0.5727272727272705;0.05960340390432741
41847;42598;9.148717948717948;0.8348869618458513
42603;42935;8.062432432432434;0.9168950093205046
42940;43074;2.9730000000000025;0.4116579474517965
43079;43203;5.527068965517241;0.7569290057144472
43208;43259;0.946428571428573;0.1376964878222184
43264;43432;1.8883333333333354;0.26502760468562964
43437;43523;3.087142857142858;0.42708831586037044
43527;43556;-0.3200000000000003;0.031401080087846034
43560;43629;3.8550000000000004;0.5308908567816295
43634;43684;0.5199999999999996;0.08004986742222588
43689;43975;6.467837837837838;0.8841065676801287
43980;44028;-0.4666666666666668;0.048191988019911765
44033;44127;4.883421052631579;0.6699176528375396
44132;44280;0.370000000000001;0.059772161753887075
44285;44417;2.37857142857143;0.3313002967032644
44421;45413;8.957444364680544;0.8469026428735689
45418;45646;2.65816666666667;0.36909729633236066
45648;45660;2.890000000000004;0.40043761698198244
45664;46121;4.55846153846154;0.6259880969544296
46126;46157;0.946428571428573;0.1376964878222184
46162;46687;9.899761904761906;0.7947938666004031
46689;46700;2.890000000000004;0.40043761698198244
46702;46900;5.9318292682926845;0.811646407620502
46905;46937;-0.7392857142857139;0.07640494174146197
46942;47472;5.194403778040144;0.7119577606626912
47477;47597;-2.9090740740740717;0.21703724343136713
47602;48509;11.318461538461538;0.7404223665336811
48514;48572;-1.614807692307691;0.14716350199827258
48577;48720;0.9132352941176478;0.13320926443902845
48725;48877;5.768750000000001;0.7896005849335211
48882;48992;1.0368181818181839;0.14991578058859414
48997;49018;-0.6533333333333324;0.06789781693904877
49023;49257;9.294999999999998;0.826244838163575
49262;49316;-0.21454545454545304;0.018535833815626117
49320;49376;0.5199999999999996;0.08004986742222588
49381;49444;2.3114285714285714;0.322223609404103
49446;49464;0.7199999999999989;0.10708680831334443
49466;49538;-1.5408333333333317;0.14211236728025062
49543;49625;1.7888157894736878;0.25157435493081665
49630;49648;-2.8149999999999995;0.21290474408622181
49653;49695;-0.6599999999999966;0.06856985401973446
49700;49813;0.6650862068965537;0.0996633034221196
49818;49848;-0.754999999999999;0.07792417184916989
49853;49975;0.5906481481481514;0.08960041644996873
49980;50097;2.280000000000001;0.3179749472640702
50102;50399;1.4585714285714282;0.2069303686041184
50404;50503;0.2702173913043495;0.046283079287557316
50508;50954;10.423157894736843;0.7720924541393442
50959;51421;2.287878787878789;0.3190400388749324
51426;51534;3.3483333333333327;0.46239727319079543
51539;51567;-4.586666666666666;0.27483428276011934
51572;51601;-0.45500000000000007;0.04690052545057627
51606;51694;-0.23499999999999943;0.02108617756847709
51698;51721;-0.45500000000000007;0.04690052545057627
51726;51939;-0.1967272727272693;0.01629196115033457
51944;52032;2.4700000000000024;0.3436600411106331
52037;52094;-1.6366666666666667;0.14862890428112954
52099;52198;-0.008369565217391184;0.008622383904982593
52203;52349;-0.5388235294117631;0.056018778703503525
52354;52600;2.057142857142857;0.28784807027110926
52605;52633;-0.6533333333333324;0.06789781693904877
52638;52742;3.3483333333333327;0.46239727319079543
52747;52778;-2.424999999999999;0.19440233849218352
52783;52902;3.4925862068965543;0.4818980552703096
52907;52981;3.068333333333335;0.4245455559432296
52986;53112;4.026666666666667;0.5540975643798397
53117;53232;4.790909090909089;0.6574114506334776
53237;53275;-0.7238888888888866;0.07490575808431586
53280;53379;3.7181818181818187;0.512395131308387
53384;53564;2.7355769230769234;0.37956197896701255
53569;53825;3.317285714285717;0.45820010998579364
53830;54084;0.968;0.14061261501833172
54089;54332;1.457207547169812;0.20674599269992844
54337;54658;5.502717391304351;0.7536370453514493
54663;54749;-1.1086363636363643;0.10944631147966652
54754;54785;-0.754999999999999;0.07792417184916989
54790;55728;7.417702970297032;0.9877917387150936
55733;55788;-1.4499999999999993;0.13570870704194019
55793;56045;3.717954545454546;0.5123644075119198
56050;56520;7.330306122448981;0.9993018882452653
56525;56627;5.105555555555558;0.6999468399647077
56632;56837;1.3499003322259142;0.19223969856178477
56842;57236;4.1667619047619056;0.5730362977373804
57241;57580;3.5590298507462705;0.49088021962708617
57585;57816;5.07;0.6951402726951752
57821;57900;1.4574999999999996;0.20678552784934454
57905;57994;0.7199999999999989;0.10708680831334443
57999;58278;6.3948275862068975;0.8742366983911717
58280;58305;3.6700000000000017;0.5058816864573449
58309;58336;1.9050000000000011;0.2672806830932227
58341;58688;5.226428571428574;0.7162870228921577
58693;58836;0.5312258064516158;0.08156742474966329
58840;58871;1.3133333333333361;0.18729639962366362
58876;59011;2.4533333333333367;0.34140696270304
59016;59108;2.645454545454548;0.36737881198329636
59113;59237;0.5906481481481514;0.08960041644996873
59242;59280;-0.6599999999999966;0.06856985401973446
59285;59397;1.0083333333333329;0.14606506476470724
59402;59419;-3.01;0.22134046272978333
59424;59444;-0.0600000000000005;0.0016427388379817714
59449;59836;3.1843174603174624;0.4402248358711189
59841;60016;0.5800000000000018;0.08816094968956179
60021;60046;-0.45500000000000007;0.04690052545057627
60051;60171;-1.7762931034482747;0.15770953544977756
60176;60202;-0.45500000000000007;0.04690052545057627
60207;60453;0.48214285714285765;0.07493216075354997
60455;61039;3.4771794871794874;0.4798153024187278
61044;62497;13.727051282051281;0.6830910049562666
62502;62576;2.301470588235297;0.32087744238914645
62581;63845;10.476404440154443;0.7699773932180203
63850;63871;-2.8149999999999995;0.21290474408622181
63876;64015;0.2967857142857149;0.04987471017767394
64020;64070;-1.4499999999999993;0.13570870704194019
64075;64142;-4.110714285714286;0.2609832669698781
64147;64783;10.06812015503876;0.7870891412778708
64788;64879;-0.7999999999999989;0.08221502214310335
64884;65184;2.96709090909091;0.41085912874364955
65189;65244;-1.4499999999999993;0.13570870704194019
65249;65459;1.4526666666666692;0.2061321351111429
65464;65479;0.7283333333333353;0.10821334751714144
65481;65492;-3.01;0.22134046272978333
65496;65636;0.5312258064516158;0.08156742474966329
65641;65816;1.187619047619048;0.17030175106353157
65821;65976;-0.23499999999999943;0.02108617756847709
65978;65985;-3.3999999999999986;0.23680724581053972
65987;66000;8.790000000000003;0.8581521435597127
66004;68500;4.443679078014185;0.6104712639621681
68502;68506;8.400000000000002;0.8874135003572207
68508;68584;4.420000000000002;0.6072702147990399
68588;68755;7.612500000000001;0.9639532593612361
68760;68862;1.778157894736843;0.25013357058069746
68867;69021;4.662500000000001;0.6400525056295212
69026;69085;0.33000000000000007;0.05436477357566321
69090;69137;3.6700000000000017;0.5058816864573449
69142;69211;3.997142857142858;0.5501063969149603
69216;69512;5.331702898550727;0.7305185016909275
69517;69613;2.55261904761905;0.35482887264541657
69618;69780;2.782857142857143;0.385953541504597
69785;69809;-0.45500000000000007;0.04690052545057627
69811;69818;-3.3999999999999986;0.23680724581053972
69822;70195;7.802560975609758;0.9428378518714897
70200;70414;6.462608695652175;0.8833996676392037
70419;70445;0.946428571428573;0.1376964878222184
70450;70744;3.3969354838709656;0.4689675405471316
70749;71031;0.6999999999999993;0.10438311422423263
